model,parameter,value
Gradient Boosting,alpha,0.9
Gradient Boosting,learning_rate,0.05
Gradient Boosting,max_depth,2.0
Gradient Boosting,min_samples_leaf,1.0
Gradient Boosting,n_estimators,400.0
Gradient Boosting,subsample,0.85
